"rules","support","confidence","coverage","lift","count"
"{HERB MARKER THYME} => {HERB MARKER ROSEMARY}",0.0101936184329574,0.94413407821229,0.010796791121298,86.4795518380197,169
"{HERB MARKER ROSEMARY} => {HERB MARKER THYME}",0.0101936184329574,0.933701657458563,0.0109174256589662,86.4795518380197,169
"{HERB MARKER PARSLEY} => {HERB MARKER ROSEMARY}",0.0100126666264552,0.932584269662921,0.010736473852464,85.4216276615556,166
"{HERB MARKER ROSEMARY} => {HERB MARKER PARSLEY}",0.0100126666264552,0.917127071823204,0.0109174256589662,85.4216276615556,166
"{HERB MARKER MINT} => {HERB MARKER ROSEMARY}",0.0100126666264552,0.902173913043478,0.0110983774654684,82.6361398030267,166
"{HERB MARKER ROSEMARY} => {HERB MARKER MINT}",0.0100126666264552,0.917127071823204,0.0109174256589662,82.6361398030267,166
"{REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES}",0.0115809156161409,0.845814977973568,0.0136920200253333,52.7171673677586,192
"{REGENCY TEA PLATE ROSES} => {REGENCY TEA PLATE GREEN}",0.0115809156161409,0.721804511278195,0.0160443935098619,52.7171673677586,192
"{POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE BEDROOM}",0.0101936184329574,0.808612440191388,0.01260630918632,51.5614832535885,169
"{POPPY'S PLAYHOUSE BEDROOM} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.0101936184329574,0.65,0.0156824898968575,51.5614832535885,169
"{SET OF 3 WOODEN STOCKING DECORATION} => {SET OF 3 WOODEN TREE DECORATIONS}",0.0103745702394596,0.690763052208835,0.0150189999396827,50.0094351203942,172
"{SET OF 3 WOODEN TREE DECORATIONS} => {SET OF 3 WOODEN STOCKING DECORATION}",0.0103745702394596,0.751091703056769,0.0138126545630014,50.0094351203942,172
"{POPPY'S PLAYHOUSE KITCHEN} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.010736473852464,0.618055555555556,0.0173713734242114,49.0274787347156,178
"{POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE KITCHEN}",0.010736473852464,0.851674641148325,0.01260630918632,49.0274787347156,178
"{POPPY'S PLAYHOUSE BEDROOM} => {POPPY'S PLAYHOUSE KITCHEN}",0.01260630918632,0.803846153846154,0.0156824898968575,46.2741853632479,209
"{POPPY'S PLAYHOUSE KITCHEN} => {POPPY'S PLAYHOUSE BEDROOM}",0.01260630918632,0.725694444444444,0.0173713734242114,46.2741853632479,209
"{PINK VINTAGE PAISLEY PICNIC BAG} => {SCANDINAVIAN PAISLEY PICNIC BAG}",0.0109777429278002,0.713725490196078,0.0153809035526871,40.6627316218584,182
"{SCANDINAVIAN PAISLEY PICNIC BAG} => {PINK VINTAGE PAISLEY PICNIC BAG}",0.0109777429278002,0.625429553264605,0.0175523252307136,40.6627316218584,182
"{WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN} => {WOODEN STAR CHRISTMAS SCANDINAVIAN}",0.0102539357017914,0.92896174863388,0.0110380601966343,38.4071242658381,170
"{PINK HAPPY BIRTHDAY BUNTING} => {BLUE HAPPY BIRTHDAY BUNTING}",0.0130888473369926,0.693290734824281,0.018879305145063,37.9342148272335,217
"{BLUE HAPPY BIRTHDAY BUNTING} => {PINK HAPPY BIRTHDAY BUNTING}",0.0130888473369926,0.716171617161716,0.0182761324567224,37.9342148272335,217
"{WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN} => {WOODEN TREE CHRISTMAS SCANDINAVIAN}",0.0102539357017914,0.566666666666667,0.0180951806502202,37.882123655914,170
"{SMALL MARSHMALLOWS PINK BOWL} => {SMALL DOLLY MIX DESIGN ORANGE BOWL}",0.0127269437239882,0.77859778597786,0.0163459798540322,37.5243392259504,211
"{SMALL DOLLY MIX DESIGN ORANGE BOWL} => {SMALL MARSHMALLOWS PINK BOWL}",0.0127269437239882,0.613372093023256,0.0207491404789191,37.5243392259504,211
"{FELTCRAFT CUSHION RABBIT} => {FELTCRAFT CUSHION BUTTERFLY}",0.0114602810784728,0.618892508143323,0.0185174015320586,37.3113414273023,190
"{FELTCRAFT CUSHION BUTTERFLY} => {FELTCRAFT CUSHION RABBIT}",0.0114602810784728,0.690909090909091,0.0165872489293685,37.3113414273023,190
"{RED STRIPE CERAMIC DRAWER KNOB} => {BLUE STRIPE CERAMIC DRAWER KNOB}",0.0110983774654684,0.654804270462633,0.0169491525423729,34.6837060702875,184
"{BLUE STRIPE CERAMIC DRAWER KNOB} => {RED STRIPE CERAMIC DRAWER KNOB}",0.0110983774654684,0.587859424920128,0.018879305145063,34.6837060702875,184
"{WOODEN TREE CHRISTMAS SCANDINAVIAN} => {WOODEN STAR CHRISTMAS SCANDINAVIAN}",0.012545991917486,0.838709677419355,0.0149586826708487,34.6757300297643,208
